,sample,log_conc_truesoil,acronym
309,615,9.41864643,16S
310,346,9.45654193,16S
311,333,9.089536686,16S
312,231,7.722898906,16S
313,504,9.076811983,16S
314,623,9.378289194,16S
315,444,9.208171715,16S
316,502,8.831582126,16S
317,354,9.408931031,16S
318,414,8.766597335,16S
319,702,8.863492371,16S
320,727,8.880440313,16S
321,345,9.570255227,16S
322,313,9.128680248,16S
323,624,9.201021617,16S
324,710,9.466135866,16S
325,602,9.33704529,16S
326,748,9.52744075,16S
327,737,9.102204604,16S
328,606,9.272528626,16S
329,603,9.278628347,16S
330,407,9.176096176,16S
331,755,9.809129494,16S
332,338,9.074821226,16S
333,454,9.074162484,16S
334,256,7.56387293,16S
335,447,8.994359215,16S
336,308,8.449103989,Arch_16S
337,403,8.494683103,Arch_16S
338,410,7.589248016,Arch_16S
339,417,8.269491903,Arch_16S
340,424,7.594327541,Arch_16S
341,643,8.515794387,Arch_16S
342,205,8.261041768,Arch_16S
343,212,8.38451079,Arch_16S
344,219,8.824620363,Arch_16S
345,226,8.721168142,Arch_16S
346,631,8.068962844,Arch_16S
347,645,7.971811235,Arch_16S
348,429,7.724678124,Arch_16S
349,436,7.937650743,Arch_16S
350,443,7.642971043,Arch_16S
351,450,8.056581344,Arch_16S
352,642,8.494023691,Arch_16S
353,230,8.668194344,Arch_16S
354,237,8.576591144,Arch_16S
355,744,7.981586993,Arch_16S
356,251,8.91182387,Arch_16S
357,535,7.539989882,Arch_16S
358,202,8.908919003,Arch_16S
359,209,8.897569047,Arch_16S
360,216,8.567415847,Arch_16S
361,223,8.784145342,Arch_16S
362,307,8.701012789,Arch_16S
363,314,7.648058186,Arch_16S
364,321,8.464699943,Arch_16S
365,328,8.567753543,Arch_16S
366,334,8.805156924,Arch_16S
367,341,8.657992286,Arch_16S
368,348,8.571570343,Arch_16S
369,355,8.255537724,Arch_16S
370,509,7.537508098,Arch_16S
371,529,7.433853715,Arch_16S
372,536,8.003823176,Arch_16S
373,543,7.979201832,Arch_16S
374,550,7.787930423,Arch_16S
375,326,8.508593143,Arch_16S
376,523,7.592772683,Arch_16S
377,431,7.506774543,Arch_16S
378,531,7.944781433,Arch_16S
379,538,7.812900063,Arch_16S
380,545,7.985318011,Arch_16S
381,552,7.877475976,Arch_16S
382,632,8.167946643,Arch_16S
383,534,8.242668329,Arch_16S
384,541,8.059037041,Arch_16S
385,548,8.275230541,Arch_16S
386,555,8.039659219,Arch_16S
387,422,7.594327541,Arch_16S
388,734,8.284525127,Arch_16S
389,741,8.361127633,Arch_16S
390,704,8.255567845,Arch_16S
391,711,8.517524497,Arch_16S
392,718,8.237524326,Arch_16S
393,725,8.129972935,Arch_16S
394,617,8.125849543,Arch_16S
395,335,8.472333543,Arch_16S
396,342,8.725004124,Arch_16S
397,349,8.726912524,Arch_16S
398,356,8.076590344,Arch_16S
399,726,8.03978728,Arch_16S
400,203,8.812771342,Arch_16S
401,210,8.155201447,Arch_16S
402,217,8.677274942,Arch_16S
403,224,8.807874247,Arch_16S
404,221,8.797504142,Arch_16S
405,228,8.595213742,Arch_16S
406,211,8.309790789,Arch_16S
407,218,8.58107599,Arch_16S
408,729,7.964799768,Arch_16S
409,201,8.872659403,Arch_16S
410,208,8.803027368,Arch_16S
411,215,8.263980247,Arch_16S
412,222,8.671347768,Arch_16S
413,435,7.19247957,Arch_16S
414,442,7.239402344,Arch_16S
415,449,8.264590544,Arch_16S
416,456,7.538966443,Arch_16S
417,413,7.594327541,Arch_16S
418,404,7.599467181,Arch_16S
419,411,7.604668374,Arch_16S
420,418,8.053842703,Arch_16S
421,425,7.589248016,Arch_16S
422,708,8.072395357,Arch_16S
423,715,8.244268141,Arch_16S
424,722,8.527518357,Arch_16S
425,607,8.177920044,Arch_16S
426,614,8.046676144,Arch_16S
427,621,7.791617244,Arch_16S
428,628,8.187746224,Arch_16S
429,656,8.49186741,Arch_16S
430,434,7.697438824,Arch_16S
431,441,7.655352543,Arch_16S
