ID,NH4N_net,mg_kg_NH4N
701,14.2117357,4.524480264
702,12.98763055,0.273939964
703,17.1829705,1.001203029
704,10.74783614,0.158545388
705,9.83966961,0.200290293
706,7.052798186,0.209815848
707,11.72551998,7.902930472
708,9.797131862,2.252070962
709,14.12147074,0.669692757
710,12.81450034,0.186020792
711,11.77592356,0.103746255
712,10.14660005,0.228165579
713,7.839728179,1.056253372
714,12.4253725,4.052738389
715,14.54465361,0.197228883
716,11.94742187,2.1099626
717,19.35550917,2.789434954
718,20.24410871,1.072194709
719,18.68319399,0.848199546
720,15.44864554,0.212169831
721,7.819838225,1.268265344
722,9.090510048,0.416678027
723,10.30370638,1.537305379
724,20.47018942,0.45675994
725,12.24167338,0.337641432
726,15.22166587,6.262235272
727,6.942090498,0.171686772
728,10.67180018,0.333984362
729,13.11360497,0.265724485
730,12.15163221,0.642136272
731,20.34868663,0.524742527
732,15.33458845,0.249401668
733,16.13549271,0.255790208
734,17.09568589,0.307109235
735,12.85476188,0.281314117
736,14.55689063,0.222315341
737,14.4259849,2.687694788
738,12.02347101,0.310436145
739,18.43396258,0.340519153
740,19.97052741,0.186757602
741,21.8414262,0.736730785
742,16.17553026,0.773597537
743,18.0426354,0.209496873
744,15.72425817,0.331260395
745,12.45205586,0.506462068
746,9.986560558,0.398137552
747,19.10214018,0.226623293
748,10.64171886,0.744738313
749,19.42240325,0.200401301
750,17.29139436,0.525809372
751,9.680661808,0.216633316
752,16.07599928,0.264872698
753,17.78240739,0.138179434
754,16.04014405,0.423618061
755,9.765877549,0.525425921
756,19.59333057,0.19286018
