"ID","timepoint","treatment","location","date","pH","gwc","mg_kg_NO3N"
"522",4,"maize monoculture","Rubona","12/8/20",5.05,"0.140159046",11.0708775875556
"523",4,"Napier grass","Rubona","12/8/20",5.29,"0.143430291",7.97061176640751
"524",4,"Brachiaria cv. Mulato II","Rubona","12/8/20",5.35,"0.136363636",9.16611977195191
"525",4,"Desmodium distortum","Rubona","12/8/20",5.22,"0.131131131",9.50348643893422
"526",4,"Maize + Desmodium","Rubona","12/8/20",5.21,"0.142576205",7.85879386639994
"527",4,"Napier + Desmodium","Rubona","12/8/20",5.26,"0.141025641",7.01516922198176
"528",4,"Brachiaria + Desmodium","Rubona","12/7/20",5.78,"0.137862138",9.91557641647361
"529",4,"maize monoculture","Karama","12/7/20",5.88,"0.122789784",11.4288801790132
"530",4,"Napier grass","Karama","12/7/20",5.99,"0.127576055",13.2452887114677
"531",4,"Brachiaria cv. Mulato II","Karama","12/7/20",6.06,"0.119417476",13.5647386319068
"532",4,"Desmodium distortum","Karama","12/7/20",6.13,"0.123781676",13.9959124464412
"533",4,"Maize + Desmodium","Karama","12/7/20",6.16,"0.117475728",10.1363179881204
"534",4,"Napier + Desmodium","Karama","12/7/20",6.34,"0.105731225",15.8905397148592
"535",4,"Brachiaria + Desmodium","Karama","12/7/20",6.09,"0.117073171",17.0444722668758
"536",4,"maize monoculture","Karama","12/7/20",5.85,"0.118627451",12.6572288414613
"537",4,"Napier grass","Karama","12/7/20",6.77,"0.109144543",11.6172554789795
"538",4,"Brachiaria cv. Mulato II","Karama","12/7/20",6.45,"0.123138034",14.9301526076397
"539",4,"Desmodium distortum","Karama","12/7/20",6.21,"0.121807466",16.3311064980894
"540",4,"Maize + Desmodium","Karama","12/7/20",5.96,"0.129126214",13.8724329309795
"541",4,"Napier + Desmodium","Karama","12/7/20",6.25,"0.115087041",14.0331292497927
"542",4,"Brachiaria + Desmodium","Karama","12/7/20",5.93,"0.120706575",15.5371991450963
"543",4,"maize monoculture","Karama","12/7/20",6.22,"0.133858268",12.1322870409738
"544",4,"Napier grass","Karama","12/7/20",6.15,"0.11627907",16.4961703706097
"545",4,"Brachiaria cv. Mulato II","Karama","12/7/20",6.15,"0.121272366",11.2696417164917
"546",4,"Desmodium distortum","Karama","12/7/20",5.85,"0.106237817",14.9178337171161
"547",4,"Maize + Desmodium","Karama","12/7/20",6.19,"0.133928571",10.1557022693649
"548",4,"Napier + Desmodium","Karama","12/7/20",6.25,"0.141453831",16.9871476207111
"549",4,"Brachiaria + Desmodium","Karama","12/7/20",6.29,"0.11804878",12.1787730458342
"550",4,"maize monoculture","Karama","12/7/20",6.31,"0.11770428",11.2222613230566
"551",4,"Napier grass","Karama","12/7/20",6.49,"0.120271581",15.3679224517129
"552",4,"Brachiaria cv. Mulato II","Karama","12/7/20",6.47,"0.133464181",13.9907167520758
"553",4,"Desmodium distortum","Karama","12/7/20",6.48,"0.123505976",12.1765480918417
"554",4,"Maize + Desmodium","Karama","12/7/20",6.25,"0.113837095",-2.81008566750003
"555",4,"Napier + Desmodium","Karama","12/7/20",6.11,"0.125992063",-2.86990775613933
"556",4,"Brachiaria + Desmodium","Karama","12/7/20",5.94,"0.129970902",-2.85452277127324
"601",5,"maize monoculture","Rubona","1/20/21",5.16,"0.115238095",4.61938374706749
"602",5,"Napier grass","Rubona","1/20/21",5.99,"0.116037736",8.73340701904167
"603",5,"Brachiaria cv. Mulato II","Rubona","1/20/21",5.65,"0.138548539",10.6295260262798
"604",5,"Desmodium distortum","Rubona","1/20/21",5.61,"0.123062899",6.43490618096052
"605",5,"Maize + Desmodium","Rubona","1/20/21",5.39,"0.125803489",7.19176120637092
"606",5,"Napier + Desmodium","Rubona","1/20/21",5.29,"0.138418079",6.7447471878969
"607",5,"Brachiaria + Desmodium","Rubona","1/20/21",5.51,"0.141491396",10.1619628328746
"608",5,"maize monoculture","Rubona","1/20/21",5.45,"0.112714157",4.81038394996971
"609",5,"Napier grass","Rubona","1/20/21",5.65,"0.125564589",8.7638318677539
"610",5,"Brachiaria cv. Mulato II","Rubona","1/20/21",5.55,"0.127697842",8.6142830397359
"611",5,"Desmodium distortum","Rubona","1/20/21",5.31,"0.131509267",7.40034882798522
"612",5,"Maize + Desmodium","Rubona","1/20/21",5.44,"0.128916741",7.48909994388075
"613",5,"Napier + Desmodium","Rubona","1/20/21",5.6,"0.127984718",9.13581541964242
"614",5,"Brachiaria + Desmodium","Rubona","1/20/21",5.44,"0.136078782",7.93340740223211
"615",5,"maize monoculture","Rubona","1/20/21",5.33,"0.14",8.67035887178684
"616",5,"Napier grass","Rubona","1/20/21",5.34,"0.151140684",10.7909945598136
"617",5,"Brachiaria cv. Mulato II","Rubona","1/20/21",5.74,"0.132162662",10.8031023433807
"618",5,"Desmodium distortum","Rubona","1/20/21",5.34,"0.146364495",9.2435926687873
"619",5,"Maize + Desmodium","Rubona","1/20/21",5.39,"0.132606721",8.11700648021658
"620",5,"Napier + Desmodium","Rubona","1/20/21",5.42,"0.147675479",10.6497226901021
"621",5,"Brachiaria + Desmodium","Rubona","1/20/21",5.54,"0.138760407",12.3368542655548
"622",5,"maize monoculture","Rubona","1/20/21",5.05,"0.119161106",6.02427094538677
"623",5,"Napier grass","Rubona","1/20/21",5.29,"0.1272052",6.10015186055589
"624",5,"Brachiaria cv. Mulato II","Rubona","1/20/21",5.35,"0.122467772",7.28221165407281
"625",5,"Desmodium distortum","Rubona","1/20/21",5.22,"0.118023788",8.12493847141835
"626",5,"Maize + Desmodium","Rubona","1/20/21",5.21,"0.125919118",7.19870716368336
"627",5,"Napier + Desmodium","Rubona","1/20/21",5.26,"0.124314442",6.86027161010097
"628",5,"Brachiaria + Desmodium","Rubona","1/19/21",5.78,"0.118811881",6.37174174445572
"629",5,"maize monoculture","Karama","1/19/21",5.88,"0.120799273",10.8377992674348
"630",5,"Napier grass","Karama","1/19/21",5.99,"0.148351648",11.939263497266
"631",5,"Brachiaria cv. Mulato II","Karama","1/19/21",6.06,"0.135359116",10.7885578187077
"632",5,"Desmodium distortum","Karama","1/19/21",6.13,"0.13320647",11.944550620509
"633",5,"Maize + Desmodium","Karama","1/19/21",6.16,"0.134191176",13.080238953074
