"ID","timepoint","treatment","location","date","pH","gwc","mg_kg_NO3N"
"725",6,"Desmodium distortum","Rubona","2/11/21",5.22,"0.118023788",5.7329806510399
"726",6,"Maize + Desmodium","Rubona","2/11/21",5.21,"0.125919118",1.11155905405764
"727",6,"Napier + Desmodium","Rubona","2/11/21",5.26,"0.124314442",4.07004084398739
"728",6,"Brachiaria + Desmodium","Rubona","2/10/21",5.78,"0.118811881",9.09775905885657
"729",6,"maize monoculture","Karama","2/10/21",5.88,"0.120799273",9.44250891077258
"730",6,"Napier grass","Karama","2/10/21",5.99,"0.148351648",9.87810225600439
"731",6,"Brachiaria cv. Mulato II","Karama","2/10/21",6.06,"0.135359116",13.0122670166217
"732",6,"Desmodium distortum","Karama","2/10/21",6.13,"0.13320647",13.9047486068143
"733",6,"Maize + Desmodium","Karama","2/10/21",6.16,"0.134191176",9.98237458554661
"734",6,"Napier + Desmodium","Karama","2/10/21",6.34,"0.130761994",14.0655903301945
"735",6,"Brachiaria + Desmodium","Karama","2/10/21",6.09,"0.131477927",13.9916744159869
"736",6,"maize monoculture","Karama","2/10/21",5.85,"0.13253012",9.90643264969658
"737",6,"Napier grass","Karama","2/10/21",6.77,"0.132518797",9.13265474054403
"738",6,"Brachiaria cv. Mulato II","Karama","2/10/21",6.45,"0.142311366",13.1689107076926
"739",6,"Desmodium distortum","Karama","2/10/21",6.21,"0.142722117",20.1215015531414
"740",6,"Maize + Desmodium","Karama","2/10/21",5.96,"0.145235893",10.2405676764665
"741",6,"Napier + Desmodium","Karama","2/10/21",6.25,"0.142206016",10.3294628023697
"742",6,"Brachiaria + Desmodium","Karama","2/10/21",5.93,"0.135234591",12.9641436267942
"743",6,"maize monoculture","Karama","2/10/21",6.22,"0.139745917",10.1919693506284
"744",6,"Napier grass","Karama","2/10/21",6.15,"0.13562387",13.2559891224482
"745",6,"Brachiaria cv. Mulato II","Karama","2/10/21",6.15,"0.159366263",10.1539134854323
"746",6,"Desmodium distortum","Karama","2/10/21",5.85,"0.130434783",9.59181023326466
"747",6,"Maize + Desmodium","Karama","2/10/21",6.19,"0.127134725",11.6956207438408
"748",6,"Napier + Desmodium","Karama","2/10/21",6.25,"0.161230196",13.6927597309621
"749",6,"Brachiaria + Desmodium","Karama","2/10/21",6.29,"0.132246377",9.42018710227803
"750",6,"maize monoculture","Karama","2/10/21",6.31,"0.119536128",7.22828149324243
"751",6,"Napier grass","Karama","2/10/21",6.49,"0.150837989",11.7191851679189
"752",6,"Brachiaria cv. Mulato II","Karama","2/10/21",6.47,"0.16462841",12.1675368593728
"753",6,"Desmodium distortum","Karama","2/10/21",6.48,"0.124882629",10.742066619012
"754",6,"Maize + Desmodium","Karama","2/10/21",6.25,"0.139194139",9.70000206184167
"755",6,"Napier + Desmodium","Karama","2/10/21",6.11,"0.165085389",15.8556485102692
"756",6,"Brachiaria + Desmodium","Karama","2/10/21",5.94,"0.132093023",14.621488529981
