sample,auc_dea,log_auc_dea,mmol_kg_hr,treatment,location,timepoint
408,1.4426125003349999,1.2362306309225737,1.1592,maize monoculture,Rubona,3
409,2.1495981285375,1.4230114930566626,1.3853,Napier grass,Rubona,3
410,2.2784266510349998,1.453585337112097,2.0308,Brachiaria cv. Mulato II,Rubona,3
411,1.65266850538125,1.2954579978376344,1.5905,Desmodium distortum,Rubona,3
412,1.1579446561575,1.149921390713927,1.1094000000000002,Maize + Desmodium,Rubona,3
413,2.96283013354875,1.6019761694527168,2.7229,Napier + Desmodium,Rubona,3
414,2.5601519028525,1.5173559350005184,2.3803,Brachiaria + Desmodium,Rubona,3
415,2.9841572135775003,1.606264324642858,2.8748,maize monoculture,Rubona,3
416,10.697804931389625,2.541429138477922,9.633600000000001,Napier grass,Rubona,3
417,7.743859866967875,2.276637329395313,7.0957,Brachiaria cv. Mulato II,Rubona,3
418,5.8771350884595,2.0639642703087393,5.1152,Desmodium distortum,Rubona,3
419,5.739488439927376,2.0463355923847564,5.3443000000000005,Maize + Desmodium,Rubona,3
420,8.084900734453875,2.3110393284676864,7.804600000000001,Napier + Desmodium,Rubona,3
421,6.301380040737374,2.1164217709495916,5.4235,Brachiaria + Desmodium,Rubona,3
422,1.854489939314625,1.3492386867995239,1.5166,maize monoculture,Rubona,3
423,5.1098130597135,1.9614759508834878,3.9010000000000002,Napier grass,Rubona,3
424,4.394569036589624,1.8554490420781107,3.7071,Brachiaria cv. Mulato II,Rubona,3
425,2.599193056194,1.5258808655401894,2.3159,Desmodium distortum,Rubona,3
426,4.699100477899125,1.9019732603536572,4.5385,Maize + Desmodium,Rubona,3
427,10.952455482082499,2.5612853826873887,13.938,Napier + Desmodium,Rubona,3
428,5.8883626192275,2.0653885872411015,9.0701,Brachiaria + Desmodium,Rubona,3
429,3.6078604918725006,1.724169272795275,4.4958,maize monoculture,Karama,3
430,2.4297175870425,1.4883358319216469,2.5460000000000003,Napier grass,Karama,3
431,2.3832149352974996,1.477782458632116,2.6824000000000003,Brachiaria cv. Mulato II,Karama,3
432,5.4261744502800004,2.0050108473022834,5.9868999999999994,Desmodium distortum,Karama,3
433,2.825543696175,1.5739234115877583,3.4290000000000003,Maize + Desmodium,Karama,3
434,6.838468749783749,2.1791136432952665,7.5774,Napier + Desmodium,Karama,3
435,5.16122257908,1.9686807176643721,5.725600000000001,Brachiaria + Desmodium,Karama,3
436,14.428437962377501,2.799013855245741,18.616,maize monoculture,Karama,3
437,3.1308962987662503,1.6352803610298527,3.3868,Napier grass,Karama,3
438,6.54600833588625,2.1454643126351476,7.1002,Brachiaria cv. Mulato II,Karama,3
