"","ID","NP","location","auc_np","pH","treatment","gwc","block","timepoint"
"107","352",0.1705,"Karama",1123.64481107817,6.47,"Brachiaria cv. Mulato II",0.161874334,4,2
"108","353",0.12571,"Karama",1096.36215895716,6.48,"Desmodium distortum",0.115594329,4,2
"109","354",-0.062737,"Karama",1464.81722246117,6.25,"Maize + Desmodium",0.136094675,4,2
"110","355",0.20423,"Karama",1074.80535331367,6.11,"Napier + Desmodium",0.122613065,4,2
"111","356",0.061896,"Karama",827.405969266482,5.94,"Brachiaria + Desmodium",0.141542002,4,2
"112","401",0.048353,"Rubona",412.360544963964,5.16,"maize monoculture",0.152255639,1,3
"113","402",0.21849,"Rubona",651.414749650554,5.99,"Napier grass",0.14474929,1,3
"114","403",0.14077,"Rubona",697.192675872992,5.65,"Brachiaria cv. Mulato II",0.169847328,1,3
"115","404",0.14763,"Rubona",524.161680834332,5.61,"Desmodium distortum",0.163669065,1,3
"116","405",0.1069,"Rubona",430.143094097471,5.39,"Maize + Desmodium",0.147030185,1,3
"117","406",0.16477,"Rubona",583.874031751868,5.29,"Napier + Desmodium",0.155698234,1,3
"118","407",0.18442,"Rubona",701.187387834898,5.51,"Brachiaria + Desmodium",0.146502836,1,3
"119","408",0.047931,"Rubona",408.350680959441,5.45,"maize monoculture",0.171317829,2,3
"120","409",-0.14719,"Rubona",875.680806587084,5.65,"Napier grass",0.158526135,2,3
"121","410",0.052877,"Rubona",651.087885189824,5.55,"Brachiaria cv. Mulato II",0.141804788,2,3
"122","411",0.17572,"Rubona",534.816110545766,5.31,"Desmodium distortum",0.166534496,2,3
"123","412",0.024645,"Rubona",684.692680265055,5.44,"Maize + Desmodium",0.152129817,2,3
"124","413",-0.018596,"Rubona",658.042998957486,5.6,"Napier + Desmodium",0.149812734,2,3
"125","414",0.0069474,"Rubona",846.589453221171,NA,"Brachiaria + Desmodium",0.138554217,2,3
"126","415",0.081048,"Rubona",953.962508767267,5.33,"maize monoculture",0.158715596,3,3
"127","416",0.19418,"Rubona",876.717543847878,5.34,"Napier grass",0.164867517,3,3
"128","417",0.24271,"Rubona",1036.52957579389,5.74,"Brachiaria cv. Mulato II",0.173794359,3,3
"129","418",0.16353,"Rubona",804.596006893584,5.34,"Desmodium distortum",0.174336283,3,3
"130","419",0.031285,"Rubona",1029.0623621668,5.39,"Maize + Desmodium",0.153620352,3,3
"131","420",0.23477,"Rubona",744.229322138098,5.42,"Napier + Desmodium",0.143595041,3,3
"132","421",0.13922,"Rubona",743.954609929415,5.54,"Brachiaria + Desmodium",0.167343623,3,3
"133","422",0.013923,"Rubona",589.669238578428,5.05,"maize monoculture",0.151515152,4,3
"134","423",0.11605,"Rubona",188.220462500521,5.29,"Napier grass",0.181360202,4,3
"135","424",0.1428,"Rubona",785.495871808194,5.35,"Brachiaria cv. Mulato II",0.147492625,4,3
"136","425",-0.09956,"Rubona",534.907712231292,5.22,"Desmodium distortum",0.137347131,4,3
"137","426",0.053328,"Rubona",631.122170488318,5.21,"Maize + Desmodium",0.178640777,4,3
"138","427",0.18624,"Rubona",180.090774313565,5.26,"Napier + Desmodium",0.174707602,4,3
"139","428",0.033535,"Rubona",606.719368869273,5.78,"Brachiaria + Desmodium",0.141776938,4,3
"140","429",0.17094,"Karama",1060.50953542026,5.88,"maize monoculture",0.123417722,1,3
"141","430",0.026069,"Karama",1376.34667694327,5.99,"Napier grass",0.1278826,1,3
"142","431",0.077589,"Karama",743.572277310863,6.06,"Brachiaria cv. Mulato II",0.13003096,1,3
"143","432",-0.032879,"Karama",311.694417740794,6.13,"Desmodium distortum",0.127310062,1,3
"144","433",0.241,"Karama",652.337693509656,6.16,"Maize + Desmodium",0.146365422,1,3
"145","434",0.19892,"Karama",590.380388007847,6.34,"Napier + Desmodium",0.120640905,1,3
"146","435",0.095936,"Karama",319.896844724446,6.09,"Brachiaria + Desmodium",0.154049296,1,3
"147","436",0.29845,"Karama",602.49601373581,5.85,"maize monoculture",0.126368159,2,3
"148","437",0.18083,"Karama",423.055070497225,6.77,"Napier grass",0.137512639,2,3
"149","438",0.24113,"Karama",640.758185045995,6.45,"Brachiaria cv. Mulato II",0.148330059,2,3
"150","439",0.20139,"Karama",931.34093911858,6.21,"Desmodium distortum",0.118268215,2,3
"151","440",0.2971,"Karama",782.351362825311,5.96,"Maize + Desmodium",0.152977413,2,3
"152","441",0.10188,"Karama",627.19172283386,6.25,"Napier + Desmodium",0.128286015,2,3
"153","442",0.16648,"Karama",623.47675726351,5.93,"Brachiaria + Desmodium",0.142339075,2,3
"154","443",0.17648,"Karama",648.984042315823,6.22,"maize monoculture",0.134312697,3,3
"155","444",0.18461,"Karama",749.445706034358,6.15,"Napier grass",0.131113424,3,3
"156","445",0.23742,"Karama",906.928127563909,6.15,"Brachiaria cv. Mulato II",0.103122044,3,3
"157","446",0.12862,"Karama",534.861397821751,5.85,"Desmodium distortum",0.136495644,3,3
"158","447",0.28964,"Karama",746.056226569918,6.19,"Maize + Desmodium",0.1400818,3,3
"159","448",0.31695,"Karama",746.515526402981,6.25,"Napier + Desmodium",0.151898734,3,3
"160","449",0.25662,"Karama",648.523811498424,6.29,"Brachiaria + Desmodium",0.139583333,3,3
"161","450",0.12822,"Karama",420.390761778035,6.31,"maize monoculture",0.135080645,4,3
"162","451",0.37097,"Karama",780.838284808298,6.49,"Napier grass",0.139626352,4,3
"163","452",0.24833,"Karama",762.167613662989,6.47,"Brachiaria cv. Mulato II",0.156429942,4,3
"164","453",0.2402,"Karama",567.078372381859,6.48,"Desmodium distortum",0.125649013,4,3
"165","454",0.10386,"Karama",595.95748997607,6.25,"Maize + Desmodium",0.142714571,4,3
"166","455",0.29734,"Karama",864.644533131815,6.11,"Napier + Desmodium",0.152941176,4,3
"167","456",0.20456,"Karama",585.552985227433,5.94,"Brachiaria + Desmodium",0.134445535,4,3
"168","501",0.16138,"Rubona",561.505189800668,5.16,"maize monoculture",0.148330059,1,4
"169","502",0.16193,"Rubona",393.874602775208,5.99,"Napier grass",0.179254783,1,4
"170","503",0.12508,"Rubona",523.108789278303,5.65,"Brachiaria cv. Mulato II",0.155599604,1,4
"171","504",0.099918,"Rubona",503.545485948152,5.61,"Desmodium distortum",0.145098039,1,4
"172","505",0.09183,"Rubona",327.372150511241,5.39,"Maize + Desmodium",0.135874878,1,4
"173","506",0.20527,"Rubona",286.425246429772,5.29,"Napier + Desmodium",0.162410623,1,4
"174","507",0.15014,"Rubona",681.136841573758,5.51,"Brachiaria + Desmodium",0.144288577,1,4
"175","508",0.073164,"Rubona",266.060677105247,5.45,"maize monoculture",0.142276423,2,4
"176","509",0.14748,"Rubona",466.403863728538,5.65,"Napier grass",0.141878669,2,4
"177","510",0.14492,"Rubona",568.311618455502,5.55,"Brachiaria cv. Mulato II",0.142433234,2,4
"178","511",0.109,"Rubona",617.942439372204,5.31,"Desmodium distortum",0.131868132,2,4
"179","512",0.11081,"Rubona",449.246626494697,5.44,"Maize + Desmodium",0.144400786,2,4
"180","513",0.10387,"Rubona",353.88308850159,5.6,"Napier + Desmodium",0.138033764,2,4
"181","514",0.1118,"Rubona",416.465911512916,NA,"Brachiaria + Desmodium",0.1352657,2,4
"182","515",0.16853,"Rubona",719.763421826046,5.33,"maize monoculture",0.154368932,3,4
"183","516",0.15827,"Rubona",703.098937502097,5.34,"Napier grass",0.154455446,3,4
"184","517",0.091734,"Rubona",723.819235269929,5.74,"Brachiaria cv. Mulato II",0.15628091,3,4
"185","518",0.17047,"Rubona",644.82392953503,5.34,"Desmodium distortum",0.153623188,3,4
"186","519",0.015183,"Rubona",404.816250738881,5.39,"Maize + Desmodium",0.156650246,3,4
"187","520",0.13167,"Rubona",737.080798940659,5.42,"Napier + Desmodium",0.159883721,3,4
"188","521",0.054274,"Rubona",466.417524427108,5.54,"Brachiaria + Desmodium",0.155445545,3,4
"189","522",0.10191,"Rubona",398.986999525087,5.05,"maize monoculture",0.140159046,4,4
"190","523",0.033742,"Rubona",324.362097424789,5.29,"Napier grass",0.143430291,4,4
"191","524",-0.029407,"Rubona",423.170845891068,5.35,"Brachiaria cv. Mulato II",0.136363636,4,4
"192","525",-0.062269,"Rubona",407.913565051538,5.22,"Desmodium distortum",0.131131131,4,4
"193","526",0.12033,"Rubona",390.664947324067,5.21,"Maize + Desmodium",0.142576205,4,4
"194","527",0.12789,"Rubona",307.826324050338,5.26,"Napier + Desmodium",0.141025641,4,4
"195","528",0.11858,"Rubona",455.164267203216,5.78,"Brachiaria + Desmodium",0.137862138,4,4
"196","529",0.013567,"Karama",474.923553291908,5.88,"maize monoculture",0.122789784,1,4
"197","530",0.029629,"Karama",510.13093653979,5.99,"Napier grass",0.127576055,1,4
"198","531",0.081602,"Karama",441.788539446698,6.06,"Brachiaria cv. Mulato II",0.119417476,1,4
"199","532",0.068708,"Karama",502.523242773753,6.13,"Desmodium distortum",0.123781676,1,4
"200","533",-0.015676,"Karama",373.874624767591,6.16,"Maize + Desmodium",0.117475728,1,4
"201","534",0.14426,"Karama",553.290777410858,6.34,"Napier + Desmodium",0.105731225,1,4
"202","535",-0.11341,"Karama",694.838991615672,6.09,"Brachiaria + Desmodium",0.117073171,1,4
"203","536",0.17185,"Karama",375.772710890979,5.85,"maize monoculture",0.118627451,2,4
"204","537",-0.014786,"Karama",352.636979675985,6.77,"Napier grass",0.109144543,2,4
"205","538",0.042096,"Karama",435.484855734828,6.45,"Brachiaria cv. Mulato II",0.123138034,2,4
"206","539",0.012235,"Karama",490.613964348108,6.21,"Desmodium distortum",0.121807466,2,4
"207","540",0.079192,"Karama",482.992906700015,5.96,"Maize + Desmodium",0.129126214,2,4
"208","541",0.0052664,"Karama",388.309238840641,6.25,"Napier + Desmodium",0.115087041,2,4
"209","542",-0.044082,"Karama",476.989940588505,5.93,"Brachiaria + Desmodium",0.120706575,2,4
"210","543",0.096298,"Karama",432.503410914098,6.22,"maize monoculture",0.133858268,3,4
"211","544",0.098107,"Karama",563.97853871897,6.15,"Napier grass",0.11627907,3,4
"212","545",0.019692,"Karama",387.704368670218,6.15,"Brachiaria cv. Mulato II",0.121272366,3,4
"213","546",0.016909,"Karama",466.781608218332,5.85,"Desmodium distortum",0.106237817,3,4
"214","547",0.040429,"Karama",412.598230545316,6.19,"Maize + Desmodium",0.133928571,3,4
"215","548",0.17303,"Karama",660.122553445054,6.25,"Napier + Desmodium",0.141453831,3,4
"216","549",0.064591,"Karama",480.99713236922,6.29,"Brachiaria + Desmodium",0.11804878,3,4
"217","550",0.1036,"Karama",460.703271638062,6.31,"maize monoculture",0.11770428,4,4
"218","551",0.040083,"Karama",576.502736844888,6.49,"Napier grass",0.120271581,4,4
"219","552",0.038465,"Karama",512.825730568378,6.47,"Brachiaria cv. Mulato II",0.133464181,4,4
"220","553",0.081698,"Karama",487.389682731902,6.48,"Desmodium distortum",0.123505976,4,4
"221","554",0.028297,"Karama",344.528413018194,6.25,"Maize + Desmodium",0.113837095,4,4
"222","555",0.02924,"Karama",649.980998087352,6.11,"Napier + Desmodium",0.125992063,4,4
"223","556",-0.010788,"Karama",589.364038391515,5.94,"Brachiaria + Desmodium",0.129970902,4,4
"224","601",0.055961,"Rubona",132.960527625826,5.16,"maize monoculture",0.115238095,1,5
"225","602",0.1961,"Rubona",333.547124198088,5.99,"Napier grass",0.116037736,1,5
"226","603",0.16628,"Rubona",343.047931743956,5.65,"Brachiaria cv. Mulato II",0.138548539,1,5
"227","604",0.23486,"Rubona",246.887405532465,5.61,"Desmodium distortum",0.123062899,1,5
"228","605",0.14711,"Rubona",226.507389455632,5.39,"Maize + Desmodium",0.125803489,1,5
"229","606",0.16684,"Rubona",192.128835236825,5.29,"Napier + Desmodium",0.138418079,1,5
"230","607",0.042705,"Rubona",344.067582413617,5.51,"Brachiaria + Desmodium",0.141491396,1,5
"231","608",0.13124,"Rubona",133.897099008402,5.45,"maize monoculture",0.112714157,2,5
"232","609",0.12426,"Rubona",324.764780256381,5.65,"Napier grass",0.125564589,2,5
"233","610",0.14914,"Rubona",321.049048955448,5.55,"Brachiaria cv. Mulato II",0.127697842,2,5
"234","611",0.094958,"Rubona",263.195958194715,5.31,"Desmodium distortum",0.131509267,2,5
"235","612",0.11754,"Rubona",193.238226460231,5.44,"Maize + Desmodium",0.128916741,2,5
"236","613",0.18515,"Rubona",234.02228129403,5.6,"Napier + Desmodium",0.127984718,2,5
"237","614",0.18521,"Rubona",203.049814477157,NA,"Brachiaria + Desmodium",0.136078782,2,5
"238","615",0.17551,"Rubona",269.134362798295,5.33,"maize monoculture",0.14,3,5
"239","616",0.23167,"Rubona",408.135786782798,5.34,"Napier grass",0.151140684,3,5
"240","617",0.17384,"Rubona",402.84950939702,5.74,"Brachiaria cv. Mulato II",0.132162662,3,5
"241","618",0.26531,"Rubona",219.327260019459,5.34,"Desmodium distortum",0.146364495,3,5
"242","619",0.18261,"Rubona",162.122380924877,5.39,"Maize + Desmodium",0.132606721,3,5
"243","620",0.22904,"Rubona",400.949099528966,5.42,"Napier + Desmodium",0.147675479,3,5
"244","621",0.016174,"Rubona",380.125264828083,5.54,"Brachiaria + Desmodium",0.138760407,3,5
"245","622",0.066666,"Rubona",104.719738984605,5.05,"maize monoculture",0.119161106,4,5
"246","623",0.094919,"Rubona",153.413808156707,5.29,"Napier grass",0.1272052,4,5
"247","624",0.11315,"Rubona",178.120769825416,5.35,"Brachiaria cv. Mulato II",0.122467772,4,5
"248","625",0.30299,"Rubona",248.328770212214,5.22,"Desmodium distortum",0.118023788,4,5
"249","626",0.13894,"Rubona",262.703334992571,5.21,"Maize + Desmodium",0.125919118,4,5
"250","627",0.071398,"Rubona",297.738012212477,5.26,"Napier + Desmodium",0.124314442,4,5
"251","628",0.1369,"Rubona",317.800184344397,5.78,"Brachiaria + Desmodium",0.118811881,4,5
"252","629",0.039442,"Karama",488.643602163027,5.88,"maize monoculture",0.120799273,1,5
"253","630",0.030695,"Karama",580.995559377987,5.99,"Napier grass",0.148351648,1,5
