"sample","gwc","timepoint","date","location","treatment","block","truesoil","NPOC","TN"
523,0.143430291,4,"12/8/20","Rubona","Napier grass",4,8.582828485,10.0667675476021,20.7890920216997
530,0.127576055,4,"12/7/20","Karama","Napier grass",1,8.689342493,15.2601504386211,27.8914726425289
524,0.136363636,4,"12/8/20","Rubona","Brachiaria cv. Mulato II",4,8.601818182,9.03918382819883,20.5305675043892
531,0.119417476,4,"12/7/20","Karama","Brachiaria cv. Mulato II",1,8.761796117,8.38327848367959,26.095224981123
538,0.123138034,4,"12/7/20","Karama","Brachiaria cv. Mulato II",2,8.768619662,6.05620083016502,29.9793683048155
532,0.123781676,4,"12/7/20","Karama","Desmodium distortum",1,8.735896686,5.49128086369203,27.5956263934013
539,0.121807466,4,"12/7/20","Karama","Desmodium distortum",2,8.746797642,6.75335178782735,30.9526622041138
533,0.117475728,4,"12/7/20","Karama","Maize + Desmodium",1,8.816417476,7.43437829123786,22.7731200353946
540,0.129126214,4,"12/7/20","Karama","Maize + Desmodium",2,8.665194175,3.68416972574102,27.3029969123482
534,0.105731225,4,"12/7/20","Karama","Napier + Desmodium",1,8.915859684,8.43033268682397,28.8977040859435
541,0.115087041,4,"12/7/20","Karama","Napier + Desmodium",2,8.866827853,78.3656169409198,30.1984597451542
535,0.117073171,4,"12/7/20","Karama","Brachiaria + Desmodium",1,8.846926829,7.92101606379798,31.0481214974247
542,0.120706575,4,"12/7/20","Karama","Brachiaria + Desmodium",2,8.828105986,11.3900407280656,31.4153713745192
536,0.118627451,4,"12/7/20","Karama","maize monoculture",2,8.831352941,10.0662493246582,25.9447075875964
543,0.133858268,4,"12/7/20","Karama","maize monoculture",3,8.678740157,7.79743121061162,27.1517162875105
537,0.109144543,4,"12/7/20","Karama","Napier grass",2,8.872920354,8.73694170702335,27.2435488236305
544,0.11627907,4,"12/7/20","Karama","Napier grass",3,8.87255814,4.19746900012891,25.7726819554355
545,0.121272366,4,"12/7/20","Karama","Brachiaria cv. Mulato II",3,8.831212724,8.71012824266166,29.472403599722
546,0.106237817,4,"12/7/20","Karama","Desmodium distortum",3,8.910808967,17.3408586287684,34.1577481883706
547,0.133928571,4,"12/7/20","Karama","Maize + Desmodium",3,8.678035714,7.44634767822943,26.9695033698819
548,0.141453831,4,"12/7/20","Karama","Napier + Desmodium",3,8.542534381,8.67965609018716,35.3894438979229
610,0.127697842,5,"1/20/21","Rubona","Brachiaria cv. Mulato II",2,8.749190647,8.89256219726586,20.6246945479145
611,0.131509267,5,"1/20/21","Rubona","Desmodium distortum",2,8.658852604,5.31832835295985,20.0496105727554
612,0.128916741,5,"1/20/21","Rubona","Maize + Desmodium",2,8.702121755,8.64623536186963,20.1895045467805
613,0.127984718,5,"1/20/21","Rubona","Napier + Desmodium",2,8.702712512,9.55515211464615,20.7348438072643
614,0.136078782,5,"1/20/21","Rubona","Brachiaria + Desmodium",2,8.613294539,7.02499489379514,22.6196695815479
621,0.138760407,5,"1/20/21","Rubona","Brachiaria + Desmodium",3,8.621008326,9.90044892031494,24.3481189665412
615,0.14,5,"1/20/21","Rubona","maize monoculture",3,8.6086,30.8122019431144,21.6673907229097
622,0.119161106,5,"1/20/21","Rubona","maize monoculture",4,8.781963775,9.45850374442439,18.8879025720526
616,0.151140684,5,"1/20/21","Rubona","Napier grass",3,8.463127376,6.27926609764344,22.0145644972364
623,0.1272052,5,"1/20/21","Rubona","Napier grass",4,8.754131848,9.22725672035148,19.8415701517285
617,0.132162662,5,"1/20/21","Rubona","Brachiaria cv. Mulato II",3,8.669695009,8.08224304736678,24.6800176938326
624,0.122467772,5,"1/20/21","Rubona","Brachiaria cv. Mulato II",4,8.740220994,4.40509350569001,20.0158668498704
618,0.146364495,5,"1/20/21","Rubona","Desmodium distortum",3,8.527818697,8.54397536970556,23.701035152519
625,0.118023788,5,"1/20/21","Rubona","Desmodium distortum",4,8.819762123,7.59197634073514,19.9121297740269
619,0.132606721,5,"1/20/21","Rubona","Maize + Desmodium",3,8.630563124,9.09961004623825,21.3459025556347
626,0.125919118,5,"1/20/21","Rubona","Maize + Desmodium",4,8.723327206,7.23009441565556,22.7020512303993
620,0.147675479,5,"1/20/21","Rubona","Napier + Desmodium",3,8.497675479,1.9033870165225,19.4002647086942
627,0.124314442,5,"1/20/21","Rubona","Napier + Desmodium",4,8.74809872,5.89689851966811,20.8146709557876
549,0.11804878,4,"12/7/20","Karama","Brachiaria + Desmodium",3,8.819512195,-3.35239665993214,22.1745260294095
628,0.118811881,5,"1/19/21","Rubona","Brachiaria + Desmodium",4,8.794257426,3.79014150851737,18.8898668553087
550,0.11770428,4,"12/7/20","Karama","maize monoculture",4,8.84942607,6.89053852919927,25.4986189934071
629,0.120799273,5,"1/19/21","Karama","maize monoculture",1,8.809591281,4.89494601030124,22.5161609963559
551,0.120271581,4,"12/7/20","Karama","Napier grass",4,8.770892338,3.34250086349221,26.2470426128749
630,0.148351648,5,"1/19/21","Karama","Napier grass",1,8.542032967,8.9636050370044,23.9786857253666
552,0.133464181,4,"12/7/20","Karama","Brachiaria cv. Mulato II",4,8.674023553,0.927123687366128,21.6630764042744
631,0.135359116,5,"1/19/21","Karama","Brachiaria cv. Mulato II",1,8.680994475,3.07538447862628,22.5972213187001
553,0.123505976,4,"12/7/20","Karama","Desmodium distortum",4,8.738645418,-1.85461578513986,23.3626133974533
632,0.13320647,5,"1/19/21","Karama","Desmodium distortum",1,8.676603235,0.740972443161751,23.0769159179202
554,0.113837095,4,"12/7/20","Karama","Maize + Desmodium",4,8.852767419,3.50797681557768,24.6939013289617
633,0.134191176,5,"1/19/21","Karama","Maize + Desmodium",1,8.658088235,5.54602461689262,24.4558335411971
555,0.125992063,4,"12/7/20","Karama","Napier + Desmodium",4,8.731339286,8.87537311254279,30.9599826445952
